2001-01-27,86,Rollin',Limp Bizkit
2001-01-27,87,Cha-Cha Slide,Mr. C The Slide Man
2001-01-27,88,Stan,Eminem Featuring Dido
2001-01-27,89,Lady (Hear Me Tonight),Modjo
2001-01-27,90,My Baby You,Marc Anthony
2001-01-27,91,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001-01-27,92,She Bangs,Ricky Martin
2001-01-27,93,You Should've Told Me,Kelly Price
2001-01-27,94,Oklahoma,Billy Gilman
2001-01-27,95,Girls Dem Sugar,Beenie Man Featuring Mya
2001-01-27,96,How Many Licks?,Lil' Kim Featuring Sisqo
2001-01-27,97,Soul Sista,Bilal
2001-01-27,98,Georgia,Carolyn Dawn Johnson
2001-01-27,99,Liar,Profyle
2001-01-27,100,The Itch,Vitamin C
2001-02-03,1,It Wasn't Me,Shaggy Featuring Ricardo RikRok Ducent
2001-02-03,2,Independent Women Part I,Destiny's Child
2001-02-03,3,Ms. Jackson,OutKast
2001-02-03,4,Don't Tell Me,Madonna
2001-02-03,5,Love Don't Cost A Thing,Jennifer Lopez
2001-02-03,6,Again,Lenny Kravitz
2001-02-03,7,He Loves U Not,Dream
2001-02-03,8,If You're Gone,matchbox twenty
2001-02-03,9,Stutter,Joe Featuring Mystikal
2001-02-03,10,The Way You Love Me,Faith Hill
2001-02-03,11,Case Of The Ex (Whatcha Gonna Do),Mya
2001-02-03,12,With Arms Wide Open,Creed
2001-02-03,13,Put It On Me,Ja Rule Featuring Lil' Mo & Vita
2001-02-03,14,Stronger,Britney Spears
2001-02-03,15,I Just Wanna Love U (Give It 2 Me),Jay-Z
2001-02-03,16,Kryptonite,3 Doors Down
2001-02-03,17,Danger (Been So Long),Mystikal Featuring Nivea
2001-02-03,18,Crazy For This Girl,Evan And Jaron
2001-02-03,19,Angel,Shaggy Featuring Rayvon
2001-02-03,20,This I Promise You,'N Sync
2001-02-03,21,Beautiful Day,U2
2001-02-03,22,I Hope You Dance,Lee Ann Womack With Sons Of The Desert
2001-02-03,23,Crazy,K-Ci & JoJo
2001-02-03,24,Liquid Dreams,O-Town
2001-02-03,25,I Wish,R. Kelly
2001-02-03,26,Promise,Jagged Edge
2001-02-03,27,Butterfly,Crazy Town
2001-02-03,28,E.I.,Nelly
2001-02-03,29,No More (Baby I'ma Do Right),3LW
2001-02-03,30,Hemorrhage (In My Hands),Fuel
2001-02-03,31,South Side,Moby Featuring Gwen Stefani
2001-02-03,32,What's Your Fantasy,Ludacris Featuring Shawna
2001-02-03,33,Dance With Me,Debelah Morgan
2001-02-03,34,Nobody Wants To Be Lonely,Ricky Martin With Christina Aguilera
2001-02-03,35,My Everything,98 Degrees
2001-02-03,36,Gotta Tell You,Samantha Mumba
2001-02-03,37,Jaded,Aerosmith
2001-02-03,38,My First Love,Avant Featuring Ketara Wyatt
2001-02-03,39,Most Girls,Pink
2001-02-03,40,My Next Thirty Years,Tim McGraw
2001-02-03,41,You Make Me Sick,Pink
2001-02-03,42,Tell Her,Lonestar
2001-02-03,43,Without You,Dixie Chicks
2001-02-03,44,Thank You,Dido
2001-02-03,45,One Woman Man,Dave Hollister
2001-02-03,46,There Is No Arizona,Jamie O'Neal
2001-02-03,47,Ashes By Now,Lee Ann Womack
2001-02-03,48,Just Friends (Sunny),Musiq Soulchild
2001-02-03,49,It's Over Now,112
2001-02-03,50,You Shouldn't Kiss Me Like This,Toby Keith
2001-02-03,51,Burn,Jo Dee Messina
2001-02-03,52,Shape Of My Heart,Backstreet Boys
2001-02-03,53,Born To Fly,Sara Evans
2001-02-03,54,But For The Grace Of God,Keith Urban
2001-02-03,55,Bow Wow (That's My Name),Lil Bow Wow
2001-02-03,56,Southern Hospitality,Ludacris
2001-02-03,57,Could It Be,Jaheim
2001-02-03,58,Still On Your Side,BBMak
2001-02-03,59,Babylon,David Gray
2001-02-03,60,Emotional,Carl Thomas
2001-02-03,61,Stranger In My House,Tamia
2001-02-03,62,So In Love With Two,Mikaila
2001-02-03,63,Wild Horses,Garth Brooks
2001-02-03,64,Project Chick,Cash Money Millionaires
2001-02-03,65,This Everyday Love,Rascal Flatts
2001-02-03,66,One More Day,Diamond Rio
2001-02-03,67,Who I Am,Jessica Andrews
2001-02-03,68,Is That Your Chick,Memphis Bleek Featuring Jay-Z & Missy Elliott
2001-02-03,69,Outside,Aaron Lewis Of Staind With Fred Durst
2001-02-03,70,I Lost It,Kenny Chesney
2001-02-03,71,I Did It,Dave Matthews Band
2001-02-03,72,We Danced,Brad Paisley
2001-02-03,73,After Party,Koffee Brown
2001-02-03,74,Just Another Day In Paradise,Phil Vassar
2001-02-03,75,Free,Mya
2001-02-03,76,Loser,3 Doors Down
2001-02-03,77,Snoop Dogg,Snoop Dogg
2001-02-03,78,Breathless,The Corrs
2001-02-03,79,A Good Day To Run,Darryl Worley
2001-02-03,80,If My Heart Had Wings,Faith Hill
2001-02-03,81,X,Xzibit
2001-02-03,82,Mamacita,Public Announcement
2001-02-03,83,Cha-Cha Slide,Mr. C The Slide Man
2001-02-03,84,By Your Side,Sade
2001-02-03,85,911,Wyclef Jean Featuring Mary J. Blige
2001-02-03,86,Rollin',Limp Bizkit
2001-02-03,87,Lady (Hear Me Tonight),Modjo
2001-02-03,88,Oh No,Mos Def & Pharoahe Monch Featuring Nate Dogg
2001-02-03,89,www.memory,Alan Jackson
